product_name,price,rating,sell,location,shop_name,kategori
"Laptop LENOVO V14 G3 Core I5 1235U 16GB 512GB SSD W11 14"" FHD",Rp7.649.000,5.0,250+ terjual,Jakarta Utara,Gateway Indonesia Comp,laptop
"ASUS Zenbook 14 Flip OLED UP5401EA I5-1135G7 8G 512GB 14"" 2.8K W11 OHS",Rp12.239.000,4.9,80+ terjual,Jakarta Pusat,Collins Official,laptop
Apple MacBook Pro M1 M2 2020 2022 13 Inch RAM 8GB 512GB 256GB,Rp15.799.000,5.0,250+ terjual,Jakarta Utara,Big Berry Cellular,laptop
"LAPTOP LENOVO FLEX 5 14 2IN1 TOUCH i5 1135G7 16GB 512GB SSD 14""FHD IPS",Rp8.599.000,5.0,18 terjual,Jakarta Utara,ROGS STORE,laptop
ASUS A416MAO VIPS421 N4020 4GB 256SSD W11+OHS 14.0 FHD IPS,Rp4.049.000,5.0,250+ terjual,Kediri,hexxacom,laptop
"ASUS Vivobook Pro 15 OLED M3500QC R9-5900HX 16G 512G RTX 3050 15.6""FHD",Rp13.464.000,4.9,250+ terjual,Jakarta Pusat,Collins Official,laptop
ASUS VivoBook Pro 15 OLED M6500QC Ryzen 5 5600H 16GB 512SSD RTX3050,Rp12.599.000,5.0,90+ terjual,Jakarta Pusat,TeknoTrend,laptop
"ASUS VIVOBOOK ULTRA 15 K513EA i5-1135G7 8GB 512GB 15.6"" OLED OHS W11",Rp8.299.000,5.0,750+ terjual,Jakarta Pusat,Protech Computer,laptop
"HP ENVY X360 13 2IN1 TOUCH Core i7 1250 8GB 512GB SSD Iris Xe 13""FHD",Rp11.749.000,4.9,60+ terjual,Jakarta Utara,ROGS STORE,laptop
ACER Swift Go OLED SFG14 71 75HD EVO i7 13700H 16/1TB SSD 2.8K 90Hz,Rp14.699.000,5.0,30+ terjual,Jakarta Utara,Acer Authorized Store Jakarta,laptop
"Laptop ADVAN Soulmate Celeron N4020 4GB/128GB (upgradable) 14"" HD",Rp2.299.000,4.9,2rb+ terjual,Kab. Tangerang,Advan Official Store,laptop
