Name,Sell,Sold,Rating,Category,ShopName,Location
advan,4987000,30,4.8,laptop,protech computer,jakarta pusat
macbook,15634000,250,4.9,laptop,envicstore,jakarta utara
lenovo,7030000,250,4.9,laptop,gemini-elektronik,jakarta barat
macbook,6200000,40,4.9,laptop,century_computer,jakarta barat
lenovo,11499000,1,5,laptop,protech computer,jakarta pusat
hp,3899000,19,5,laptop,debby batavia computer,bekasi
acer,11399000,30,5,laptop,acer authorized store jakarta,jakarta utara
advan,5989000,28,4.7,laptop,digitalzone tangcity,tangerang
asus,8449000,100,4.9,laptop,agres id,jakarta utara
acer,9499000,6,5,laptop,top tech,jakarta utara
lenovo,7850000,18,4.4,laptop,foxcomp,jakarta pusat
asus,5239000,18,5,laptop,hosana computer,jakarta pusat
hp,5389000,250,4.9,laptop,hp official,jakarta utara
lenovo,23940000,250,4.9,laptop,lenovo jatim,surabaya
asus,16299000,70,5,laptop,protech computer,jakarta pusat
hp,3799000,21,4.8,laptop,debby batavia computer,bekasi
hp,4100000,21,4.8,laptop,re'comp,jakarta pusat
asus,4769000,26,4.9,laptop,asus official store,dilayani tokopedia
macbook,15730000,1000,5,laptop,onestop gaming,jakarta pusat
advan,7020999,100,5,laptop,teknotrend,jakarta pusat
hp,2350000,12,5,laptop,star jaya_electronic,jakarta barat
lenovo,14768000,4,5,laptop,gamer.id,jakarta utara
asus,8418000,250,5,laptop,distributor laptop id,jakarta pusat
lenovo,2350000,30,5,laptop,quality computerr,jakarta pusat
hp,5410000,2,5,laptop,els computer,yogyakarta
asus,1350000,11,5,laptop,dr.com komputer,jakarta barat
asus,3949000,100,5,laptop,rogs store,jakarta utara
lenovo,15299000,27,5,laptop,gamer.id,jakarta utara
asus,9950000,70,5,laptop,terminal laptop,jakarta pusat
lenovo,4999000,100,5,laptop,lenovo authorized bogor,kab. bogor
macbook,11598000,1000,5,laptop,onestop gaming,jakarta pusat
lenovo,4200000,100,4.9,laptop,ocean laptop,jakarta barat
hp,8699000,30,4.7,laptop,top tech,jakarta utara
asus,4569000,100,5,laptop,asus official store,dilayani tokopedia
advan,2167000,1000,5,laptop,distributor laptop id,jakarta pusat
macbook,18899000,7,5,laptop,agres id surabaya,surabaya
lenovo,3959000,30,5,laptop,thinkpad official store,jakarta utara
macbook,24499000,90,5,laptop,a-trinity komputer,jakarta pusat
acer,6016000,750,4.9,laptop,protech computer,jakarta pusat
asus,7358000,500,5,laptop,agres id,jakarta utara
asus,8312000,15,5,laptop,digital zone,jakarta pusat
hp,5232000,40,5,laptop,top tech,jakarta utara
macbook,14276000,30,5,laptop,studio apple,jakarta pusat
hp,6065000,100,5,laptop,collins official,jakarta pusat
asus,10885000,500,4.8,laptop,prostorecomputer,jakarta utara
asus,9599000,40,5,laptop,asus official store,jakarta timur
lenovo,1150000,100,5,laptop,budicomp,jakarta pusat
macbook,11600000,50,5,laptop,hokihp,jakarta barat
hp,2995000,40,4.9,laptop,asia komputer,jakarta barat
hp,7143000,80,4.9,laptop,amd official store,jakarta utara
acer,7599000,50,5,laptop,gateway indonesia comp,jakarta utara
lenovo,3100000,26,5,laptop,juragan idn,jakarta pusat
